Sample_ID,Q,A,Date_Measured,Time_HHMMSS,Time_s,Curve_Type,Campaign,State,Site,Species,Tree_Rep,Plot,Leaf_Type,Sample_Height_m,Tree_DBH_cm,A_fs,Alpha,Ca,CF_CO2_a,CF_H2O_a,Ci,CO2_pct,CO2_a,CO2_Adj,CO2_at,CO2_cv,CO2_Match,CO2_r,CO2_r_sp,CO2_s,CO2_t,Convert,Corr_Fact,Corr_Fact_pct,dF_dt,dF_dc_dt,DIAG,E,EB_Sum,Elapsed,Emm,F,F_avg,F_blue,F_dc,F_dc_avg,F_red,Fan,Fan_Speed,Flow,Flow_r,Flow_s,GBW,GSW,GTC,GTW,H2O_a,H2O_adj,H2O_at,H2O_cv,H2O_Elapsed,H2O_Match,H2O_r,H2O_s,H2O_t,Lat_H_Flux,Leak,Leak_pct,Match_CO2,Match_H2O,Net_Therm,Obs,Pa,Pc,Pca,Pci,Phi_CO2,Q_blue,Q_red,Q_abs,Q_abs_fs,Q_amb_out,Q_in,R_abs,RH_cham,Sen_H_Flux,SS_r,SS_s,SVP_Cham,SVP_Leaf,T_Air,T_Chopper,T_Digital,T_Drive,T_IRGA,T_Leaf,T_Leaf_Cnd,T_Leaf_EB,T_LED,T_Preamp,T_Pwr_Spy,T_r,T_s,TSPF,T_xchg,T_xchg_sp,VP_Cham,VPD_Leaf,Delta-P_Cham,Original_File_Name
HF_HFPR_08-06-2021_ACRU_1_17.9,0,-2.054759302,8/6/2021,11:58:38,1618588718,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,-2.054759302,0,401.1740024,1.02305,-0.021867,830.6736209,29.8869,400.151,-0.049,400,0.03,1.023,400.01,400,401.174,1618586844,0,1.000387119,0.038711943,6.798461371,-4.067692187,18,0.00028412,96.2259639,941.5,0.284120189,5.25,2.6128,0,20.16,21.2128,0,51683.64305,10050,999.991,786.267,1075.21,2.241278858,0.007013037,0.004376635,0.007000869,1.7094,-0.001,1,0.02,31.1,-0.022,1.51741,1.68753,1618586850,-12.52970032,10,1,1.023,-0.0219,9.782315737,14,98.2601,0.96,39.45952863,81.70516866,-9999,0,0,0,0,1.2655,0,0,3.888611501,98.97334849,99.8599,99.8593,4.268507586,4.071797896,30.0329,30.0002,41.875,38.687,28.2576,29.2138,29.2138,29.93856627,37.5,40,40.937,27.968,28.0112,1618506355,29.241,-9999,0.165985677,3.905812219,0.100034,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,10.065,-1.322826804,8/6/2021,11:54:39,1618588479,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,-1.322826804,0.842982107,400.7330015,1.02305,-0.021867,605.6160407,29.8759,399.71,-0.049,400,0.03,1.023,400.027,400,400.733,1618586844,0.165355467,1.000427299,0.042729922,-0.03639316,-3.258974379,18,0.000363293,105.0776957,702.5,0.36329269,2.1772,2.36775,0.099781,119.776,119.3450385,0.900219,51508.1688,10020,1000.01,786.328,1074.05,2.236718325,0.008919739,0.005564283,0.008900024,1.67497,-0.001,1,0.02,27.2,-0.022,1.43559,1.65311,1618586850,-16.02120762,11,1,1.023,-0.0219,10.77459352,12,98.2601,84.6417,39.41607819,59.56836379,-0.15590888,1,9.06,8.484614911,8.484614911,0.919963,10.065,1.664302777,3.773929326,108.6600071,99.8655,99.8564,4.308501928,4.090773463,30.1954,30.0002,42.625,39.437,28.2455,29.2943,29.2943,30.0871249,38.312,40.812,41.562,27.9491,27.9921,1618506116,29.31,-9999,0.162599818,3.928173646,0.0998505,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,24.9711,-0.804311262,8/6/2021,11:53:32,1618588412,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,-0.804311262,0.843003604,400.3780009,1.02305,-0.021867,488.0190666,29.8746,399.355,-0.049,400,0.03,1.023,400.004,400,400.378,1618586844,0.165396956,1.000427397,0.042739692,-0.123553847,-1.941538458,18,0.000451128,105.2012147,635.5,0.451128306,2.3634,2.325372,0.100097,255.605,256.16908,0.899903,51496.39997,10020,1000.02,786.397,1073.55,2.236719877,0.011051255,0.006890842,0.01102101,1.70632,-0.001,1,0.02,26,-0.022,1.41436,1.68446,1618586850,-19.8947583,11,1,1.023,-0.0219,10.91900709,11,98.2602,209.975,39.38130469,48.00170717,-0.038208241,2.5,22.47,21.0507273,21.0507273,0.955403,24.9711,4.130143937,3.830196385,110.0468219,99.8692,99.8569,4.325731445,4.104516731,30.265,30.0001,42.812,39.687,28.2374,29.3524,29.3524,30.14611591,38.562,41.125,41.75,27.9396,27.9826,1618506050,29.3336,-9999,0.165684009,3.938832722,0.100111,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,50.0379,-0.028602621,8/6/2021,11:52:15,1618588335,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,-0.028602621,0.842991607,399.844,1.02305,-0.021867,377.1783461,29.872,398.821,-0.049,400,0.03,1.023,399.988,400,399.844,1618586844,0.165373801,1.000271966,0.027196595,-0.461039328,-3.969846185,18,0.000671716,102.6879038,558.5,0.671716079,2.406,2.355615385,0.099636,484.903,484.9563077,0.900364,51491.03327,10021.9,999.945,786.483,1077.86,2.236984129,0.01646048,0.010251925,0.016393486,1.81376,-0.001,1,0.02,24.8,-0.022,1.38968,1.7919,1618586850,-29.62267907,7,1,1.023,-0.0219,11.20199536,10,98.2586,420.812,39.32812565,37.09876198,-0.000678084,4.99,45.05,42.18152972,42.18152972,0.886,50.0379,8.274957715,4.055374229,112.8336298,99.8712,99.85,4.346057799,4.118466546,30.3468,30.0002,43.062,40,28.2263,29.4112,29.4112,30.18584169,38.937,41.437,41.937,27.9278,27.9721,1618505972,29.3498,-9999,0.176248908,3.942217638,0.100074,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,100.068,1.426856676,8/6/2021,11:50:43,1618588244,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,1.426856676,0.842997901,398.8299983,1.02305,-0.021867,297.410802,29.8681,397.807,-0.049,400,0.03,1.023,399.967,400,398.83,1618586844,0.16538595,1.000310685,0.03106852,-0.063904268,-10.14495723,18,0.001174998,102.2600119,467,1.174997842,2.3671,2.322323077,0.0999021,964.309,964.7622308,0.900098,51515.07397,10029.4,1000.02,786.561,1076.85,2.238067469,0.029142627,0.01810207,0.028933441,2.08666,-0.001,1,0.02,23.2,-0.022,1.36148,2.06479,1618586850,-51.81740483,8,1,1.023,-0.0219,12.41657634,9,98.2549,841.494,39.22681262,29.25175601,0.01691448,10,90.07,84.357114,84.357114,0.73538,100.068,16.54984123,4.65555113,125.1109992,99.8739,99.8352,4.362143935,4.109731219,30.4113,30.0001,43.375,40.437,28.2119,29.3744,29.3744,30.14552078,39.437,41.875,42.187,27.9136,27.9588,1618505881,29.36,-9999,0.203081841,3.906649378,0.0998195,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,200.017,4.627905178,8/6/2021,11:48:43,1618588123,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,4.627905178,0.8430012,396.7689946,1.02305,-0.021867,223.7178416,29.8626,395.746,-0.049,400,0.03,1.023,400.008,400,396.769,1618586844,0.165392316,1.000310813,0.031081294,0.711161548,10.08923075,18,0.001945379,96.75489202,346.5,1.945379104,2.4833,2.33718,0.100031,2004.99,2004.4916,0.899969,51493.9082,10029.4,1000,786.823,1076.98,2.238100066,0.048871022,0.030230635,0.048285826,2.51049,-0.001,1,0.02,21.2,-0.022,1.32466,2.48862,1618586850,-85.79121848,8,1,1.023,-0.0219,13.50463979,8,98.257,1681.92,39.0249273,22.00417024,0.02744665,20.01,180.01,168.614571,168.614571,0.856466,200.017,33.08127482,5.569312774,135.9601959,99.8807,99.816,4.395025043,4.119535835,30.5425,30.0003,43.625,41,28.1878,29.4157,29.4157,30.14532561,40.187,42.437,42.437,27.8926,27.9374,1618505760,29.3684,-9999,0.244772691,3.874763144,0.0997966,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,299.947,6.069591881,8/6/2021,11:47:50,1618588070,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,6.069591881,0.8429995,395.8169929,1.02305,-0.021867,196.1752839,29.8616,394.794,-0.049,400,0.03,1.023,399.974,400,395.817,1618586844,0.165389035,1.000351185,0.035118535,0.825407694,70.92692311,18,0.002173472,98.76226308,293.5,2.173472095,2.516,2.341904,0.0999854,3090.63,3084.4312,0.900015,51272.98489,9988.12,999.917,786.858,1076.35,2.231745144,0.054423349,0.033624894,0.053696659,2.63165,-0.001,1,0.02,20.3,-0.022,1.30945,2.60978,1618586850,-95.8501194,9,1,1.023,-0.0219,13.14811221,7,98.2525,2522.26,38.92957088,19.29431974,0.024004223,29.99,269.96,252.855171,252.855171,0.886,299.947,49.60794483,5.809984215,131.8563254,99.8817,99.8122,4.417882161,4.148522167,30.6332,30.0002,43.687,41.312,28.1782,29.5373,29.5373,30.28388752,40.562,42.625,42.5,27.8843,27.9279,1618505708,29.3642,-9999,0.256678256,3.891843911,0.0999497,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,500.043,7.358676797,8/6/2021,11:47:11,1618588031,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,7.358676797,0.842400408,395.0379914,1.02305,-0.021867,166.1093125,29.8582,394.015,-0.049,400,0.03,1.023,399.995,400,395.038,1618586844,0.164232787,1.000350301,0.035030092,-0.098690591,56.93401711,18,0.002291245,104.6924657,254.5,2.29124502,2.3092,2.334003846,0.0800095,5228.07,5222.592308,0.91999,51402.39224,10017.5,999.947,787.056,1076.42,2.236193618,0.056596013,0.034952107,0.055812134,2.69017,-0.001,1,0.02,19.7,-0.022,1.29764,2.66831,1618586850,-101.0439054,9,1,1.023,-0.0219,11.2049436,6,98.2508,4229.28,38.85228858,16.33697792,0.017469232,40.01,460.03,421.2364272,421.2364272,0.886,500.043,82.1234557,5.91149747,112.4079718,99.8825,99.8102,4.439320672,4.208238999,30.7179,30.0001,43.75,41.5,28.171,29.7855,29.7855,30.57524462,40.812,42.75,42.5,27.8783,27.9231,1618505669,29.3561,-9999,0.262430329,3.945808669,0.0999648,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,750.145,7.846761373,8/6/2021,11:46:34,1618587994,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,7.846761373,0.841590103,394.7019908,1.02305,-0.021867,158.7335665,29.8567,393.679,-0.049,400,0.03,1.023,399.978,400,394.702,1618586844,0.162668899,1.000273206,0.027320636,-0.314516244,14.09504282,18,0.002403022,110.8166912,217.5,2.403022381,2.1567,2.371484615,0.0530043,7097.18,7093.515385,0.946996,51257.31621,9990,999.973,787.143,1077.63,2.232037923,0.058432317,0.036071438,0.057595619,2.74652,-0.001,1,0.02,19.1,-0.022,1.28712,2.72465,1618586850,-105.973287,7,1,1.023,-0.0219,8.617872212,5,98.2529,6394.14,38.82005034,15.61189249,0.012429241,39.76,710.38,631.314608,631.314608,0.886,750.145,122.0252613,6.014344608,86.14684463,99.8836,99.8077,4.455630733,4.276676888,30.7821,30.0002,43.75,41.625,28.1647,30.0662,30.0662,30.90332558,41.062,42.875,42.562,27.8735,27.9184,1618505631,29.3439,-9999,0.267976987,4.008699902,0.0999111,2021-08-06-_HF-ACRU1
HF_HFPR_08-06-2021_ACRU_1_17.9,1000.16,8.894907237,8/6/2021,11:44:33,1618587874,LRC,HF_2021,MA,HF,ACRU,1,HFPR,Broadleaf,17.92224,45.3,8.894907237,0.841199808,394.0359896,1.02305,-0.021867,155.3568129,29.8518,393.013,-0.049,400,0.03,1.023,400.018,400,394.036,1618586844,0.161915629,1.000272796,0.027279626,-0.339592302,607.2538468,18,0.002731533,115.9967488,97,2.731532649,2.6106,2.38488,0.0399908,9026.59,8974.0388,0.960009,51334.35159,10010.6,999.88,787.082,1078.55,2.235174426,0.065558627,0.040410938,0.064508829,2.90711,-0.001,1,0.02,17.1,-0.022,1.25131,2.88525,1618586850,-120.4605898,7,1,1.023,-0.0219,6.781221625,4,98.2528,8557.01,38.75453949,15.27977622,0.01057238,40,960.16,841.3344,841.3344,0.977553,1000.16,161.941536,6.316823835,67.73458098,99.8885,99.803,4.492327138,4.350267611,30.9258,30.0001,43.625,41.937,28.1446,30.3637,30.3637,31.23862688,41.625,42.937,42.437,27.8571,27.8994,1618505511,29.2864,-9999,0.283772391,4.066495219,0.0999914,2021-08-06-_HF-ACRU1
